ModelID,PatientID,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
ACH-000008,PT-fp8PeY,Skin,Melanoma,Melanoma
ACH-000014,PT-fp8PeY,Skin,Melanoma,Melanoma
ACH-000219,PT-3FxmoJ,Skin,Melanoma,Melanoma
ACH-000274,PT-QbMSjm,Skin,Melanoma,Melanoma
ACH-000304,PT-JAyPtz,Skin,Melanoma,Melanoma
ACH-000322,PT-czDcsE,Skin,Melanoma,Melanoma
ACH-000348,PT-xMEDHc,Skin,Melanoma,Melanoma
ACH-000401,PT-hf4hbl,Skin,Melanoma,Cutaneous Melanoma
ACH-000404,PT-xgu7do,Skin,Melanoma,Cutaneous Melanoma
ACH-000423,PT-TEoeSm,Skin,Melanoma,Cutaneous Melanoma
ACH-000425,PT-Zu8A8i,Skin,Melanoma,Melanoma
ACH-000441,PT-wx4HmM,Skin,Melanoma,Melanoma
ACH-000450,PT-tIdwwm,Skin,Melanoma,Melanoma
ACH-000458,PT-CfuEas,Skin,Melanoma,Melanoma
ACH-000465,PT-spChit,Skin,Melanoma,Melanoma
ACH-000477,PT-A0Pe6P,Skin,Melanoma,Melanoma
ACH-000550,PT-Wg8rkx,Skin,Melanoma,Melanoma
ACH-000572,PT-GdtXdl,Skin,Melanoma,Melanoma
ACH-000579,PT-KoNkGk,Skin,Melanoma,Melanoma
ACH-000580,PT-Dlqu1U,Skin,Melanoma,Melanoma
ACH-000582,PT-l2xN1V,Skin,Melanoma,Melanoma
ACH-000614,PT-Zy2EsL,Skin,Melanoma,Melanoma
ACH-000615,PT-xtiBPE,Skin,Melanoma,Cutaneous Melanoma
ACH-000632,PT-CeiJLF,Skin,Melanoma,Cutaneous Melanoma
ACH-000640,PT-Zpoh5W,Skin,Melanoma,Cutaneous Melanoma
ACH-000644,PT-w6ABKA,Skin,Melanoma,Cutaneous Melanoma
ACH-000650,PT-Wg8rkx,Skin,Melanoma,Melanoma
ACH-000661,PT-VxRt2m,Skin,Melanoma,Melanoma
ACH-000730,PT-2vBUWf,Skin,Melanoma,Cutaneous Melanoma
ACH-000750,PT-jI6Xhs,Skin,Melanoma,Melanoma
ACH-000765,PT-mH5ckQ,Skin,Melanoma,Melanoma
ACH-000788,PT-ZSJTWI,Skin,Melanoma,Melanoma
ACH-000799,PT-mZ69Vl,Skin,Melanoma,Melanoma
ACH-000801,PT-1I8hCi,Skin,Melanoma,Melanoma
ACH-000805,PT-SscYEx,Skin,Melanoma,Cutaneous Melanoma
ACH-000810,PT-1TshCj,Skin,Melanoma,Cutaneous Melanoma
